pajek,subd_id,subd_name,disc_id,x,y,size,
307,1,Clinical Cancer Research,3,3.62,-1.46,14.79,
374,2,Circulation,3,4.03,-1.78,12.41,
21,3,Data Mining,7,0.33,-1.8,20,
286,4,Protein Science,2,3.25,-1.55,9.56,
53,5,Signal Processing,7,0.54,-1.89,10.83,
405,6,Neuroscience; Molecular & Cellular,8,4.25,-1.57,10.34,
378,7,Anesthetics & Analgesics,3,4.06,-1.68,6.08,
343,8,Urology,3,3.89,-1.34,6.34,
299,9,Immunology,10,3.51,-1.45,7.92,
195,10,Macromolecules & Polymers,5,2.05,-2.03,9.74,
453,11,Affective Disorders,8,4.91,-1.7,4.04,
345,12,Oncology,3,3.9,-1.43,7.07,
102,13,Surface Science,11,1.14,-2.23,16.98,
28,14,Nonlinear Analysis,11,0.39,-2.04,4.82,
427,15,Hospital Financial Management,12,4.49,-2.32,3.62,
333,16,Rheumatology,3,3.82,-1.61,4.96,
305,17,Occupational Health,12,3.55,-2.13,3.27,
205,18,Organic Chemistry,5,2.22,-2.24,14.74,
312,19,Leukemia,3,3.67,-1.49,6.14,
295,20,Virology,10,3.43,-1.3,5.06,
259,21,Plant Physiology,1,2.85,-1.08,4.85,
335,22,Allergy & Clinical Immunology,3,3.82,-1.51,3.52,
108,23,Material Science,4,1.2,-2.15,6.62,
332,24,Dermatology,3,3.82,-1.88,5.71,
358,25,Kidney,3,3.95,-1.6,4.81,
364,26,Pharmacology Science,3,3.98,-1.5,4.85,
520,27,Law,13,5.91,-1.16,2.66,
392,28,Medical Imaging,8,4.12,-1.52,5.14,
284,29,Bacteriology,10,3.17,-1.33,4.97,
215,30,Marine Biology,1,2.32,-0.71,3.4,
323,31,Developmental Biology,3,3.77,-1.5,4.23,
340,32,Digestion,3,3.87,-0.98,4.87,
301,33,Toxicology Applied Pharmacology,3,3.52,-1.54,2.87,
129,34,Transportation Research,4,1.36,-1.53,3.57,
198,35,Inorganic Chemistry,5,2.12,-2.24,9.42,
139,36,Chemical Engineering,4,1.52,-1.87,5.54,
275,37,Pharmaceutical Research,5,3.09,-2.15,3.41,
101,38,Semiconducting Materials,11,1.12,-2.18,16.38,
325,39,Diabetes Care,3,3.77,-1.99,3.37,
445,40,Clinical Neurophysiology,8,4.73,-1.58,3.28,
356,41,Opthamology,3,3.94,-1.85,4.47,
302,42,Nutrition,12,3.53,-1.79,3.23,
5,43,Finance,13,-0.12,-1.45,2.32,
409,44,Neurosurgery,8,4.29,-1.53,4.38,
311,45,Fertility,3,3.66,-1.62,3.23,
79,46,Applied Optics,7,0.85,-2.17,8.49,
127,47,Nuclear Engineering,4,1.35,-1.77,3.5,
292,48,Molecular Cell Biology,10,3.4,-1.44,4.48,
272,49,Food Chemistry,5,3.06,-1.66,4.67,
319,50,Obstetrics,3,3.74,-1.68,4.97,
338,51,Chest & Respiratory,3,3.85,-1.57,4.27,
144,52,Earthquake Engineering,4,1.55,-1.74,3.53,
232,53,Zoology,1,2.53,-0.63,2.41,
269,54,Pharmaceutical Design,5,3.02,-1.93,4.55,
297,55,AntiMicrobial Agents,10,3.45,-1.45,3.77,
13,56,Systems Software,7,0.24,-1.73,2.15,
4,57,Decision Support Systems,13,-0.14,-1.59,2.64,
539,58,Business Ethics,13,5.99,-1.53,2.88,
381,59,Vascular Surgery,3,4.07,-1.51,3.28,
135,60,Pulp & Paper,4,1.44,-1.89,3.14,
181,61,Seismology,6,1.9,-0.66,3.3,
401,62,Bone Joint Surgery,12,4.21,-1.76,3.98,
435,63,Neurology,8,4.56,-1.57,4.62,
33,64,Algebra,11,0.42,-2.06,3.51,
71,65,Antenna,7,0.75,-2.09,4.26,
66,66,Circuit Systems,7,0.65,-1.98,4.23,
441,67,Nursing Specialists,12,4.66,-2.28,3.77,
376,68,Retinal Surgery,12,4.05,-1.85,3.94,
439,69,Psychopharmacology,8,4.63,-1.58,3.12,
96,70,Aeronautics & Astronautics,4,1.09,-1.84,3.94,
467,71,Psychoanalysis,12,5.21,-1.74,1.74,
188,72,Oceanography,6,1.97,-0.81,2.42,
412,73,Sports Medicine,12,4.32,-1.87,2.87,
10,74,Operations Research,13,0.07,-1.7,2.98,
246,75,Chromatography; Electrophoresis,5,2.64,-2.07,4.79,
326,76,Pediatrics,3,3.78,-1.64,4.46,
355,77,Cardiovascular,3,3.94,-1.73,3.82,
197,78,Paleobiology,6,2.1,-0.63,1.78,
546,79,Economics,13,6.09,-1.31,2.68,
365,80,Hypertension,12,4,-1.9,3.37,
350,81,Human Molecular Genetics,3,3.92,-1.39,3.18,
316,82,Clinical Endocrinology,3,3.7,-1.85,3.17,
318,83,Dietetics,3,3.73,-1.98,2.47,
289,84,Clinical Microbiology,10,3.31,-1.36,3.13,
387,85,Hospital Pharmacy,12,4.11,-2.13,5.06,
119,86,Gas Turbines,4,1.27,-1.78,2.38,
196,87,Remote Sensing,6,2.06,-0.66,3.41,
158,88,Computational Chemistry,5,1.64,-2.33,7.16,
366,89,Surgery,3,4.01,-1.44,3.54,
121,90,Ceramics,4,1.28,-2.13,6.74,
303,91,AIDS Research,3,3.53,-1.45,2.34,
